flag,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
Y,M,4. Grad,756460,1_Unk,N,B,,U,Professional,1Low,,Midwest,1,L
N,F,3. Bach,213171,7above65,N,E,,U,Professional,1Low,Owner,Northeast,3,G
N,M,2. Some College,111147,2upto25,Y,C,,Y,Professional,1Low,Owner,Midwest,1,J
Y,M,2. Some College,354151,2upto25,Y,B,Single,U,Sales/Service,1Low,,West,2,L
Y,F,2. Some College,117087,1_Unk,Y,J,Married,Y,Sales/Service,1Low,,South,7,H
Y,F,3. Bach,248694,6upto65,Y,B,Married,N,Professional,2Med,Owner,West,1,G
Y,M,3. Bach,2000000,1_Unk,Y,A,Married,U,Professional,1Low,,Northeast,5,C
N,F,3. Bach,416925,5upto55,Y,C,Married,Y,Professional,1Low,Owner,South,2,I
N,F,1. HS,207676,4upto45,Y,G,,Y,Blue Collar,1Low,Renter,West,5,D
Y,M,1. HS,241380,1_Unk,Y,C,Married,U,Sales/Service,1Low,,Northeast,6,G
N,M,2. Some College,158268,7above65,Y,C,,Y,Sales/Service,2Med,Owner,Midwest,3,E
Y,F,3. Bach,245686,4upto45,N,F,Married,U,Blue Collar,1Low,Owner,South,3,E
Y,F,2. Some College,360587,5upto55,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,J
N,M,0. lessHS,0,2upto25,Y,I,,N,Others,1Low,,West,6,C
Y,F,3. Bach,380431,6upto65,Y,B,,U,Professional,1Low,Owner,South,2,A
Y,M,0. lessHS,162884,1_Unk,Y,G,Married,Y,Professional,1Low,Renter,South,7,C
N,F,1. HS,0,7above65,N,I,Married,N,Retired,1Low,Owner,South,5,E
Y,F,2. Some College,239560,5upto55,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,3,F
N,M,0. lessHS,60822,1_Unk,N,G,Single,Y,Blue Collar,1Low,Renter,Midwest,9,C
N,M,1. HS,90426,4upto45,Y,I,,N,Blue Collar,1Low,Owner,South,6,E
Y,F,4. Grad,408750,3upto35,Y,F,,Y,Sales/Service,3High,Owner,West,3,F
Y,M,3. Bach,0,4upto45,N,G,Married,U,Professional,1Low,Renter,West,8,F
N,F,2. Some College,136729,4upto45,Y,C,Married,Y,Blue Collar,1Low,Owner,Midwest,4,G
N,U,0. lessHS,452622,3upto35,N,F,Single,U,Professional,1Low,Renter,South,1,D
